starttime	seconds	ctime	dtime	ttime	wait
Sun Jan 15 23:10:30 2017	1484518230	1	2	3	1
Sun Jan 15 23:10:31 2017	1484518231	1	1	3	1
Sun Jan 15 23:10:28 2017	1484518228	0	2	3	1
Sun Jan 15 23:10:30 2017	1484518230	1	2	3	2
Sun Jan 15 23:10:29 2017	1484518229	1	2	3	2
Sun Jan 15 23:10:29 2017	1484518229	1	1	3	1
Sun Jan 15 23:10:30 2017	1484518230	1	2	3	2
Sun Jan 15 23:10:34 2017	1484518234	1	2	3	2
Sun Jan 15 23:10:29 2017	1484518229	1	1	3	1
Sun Jan 15 23:10:34 2017	1484518234	1	2	3	1
Sun Jan 15 23:10:29 2017	1484518229	1	2	3	2
Sun Jan 15 23:10:29 2017	1484518229	1	2	3	2
Sun Jan 15 23:10:28 2017	1484518228	1	2	3	2
Sun Jan 15 23:10:35 2017	1484518235	1	2	3	1
Sun Jan 15 23:10:33 2017	1484518233	0	2	3	2
Sun Jan 15 23:10:27 2017	1484518227	1	2	3	2
Sun Jan 15 23:10:28 2017	1484518228	1	2	3	2
Sun Jan 15 23:10:28 2017	1484518228	1	2	3	1
Sun Jan 15 23:10:33 2017	1484518233	1	2	3	2
Sun Jan 15 23:10:29 2017	1484518229	1	2	3	2
Sun Jan 15 23:10:28 2017	1484518228	1	1	3	1
Sun Jan 15 23:10:30 2017	1484518230	1	2	3	1
Sun Jan 15 23:10:33 2017	1484518233	1	2	3	1
Sun Jan 15 23:10:29 2017	1484518229	1	2	3	2
Sun Jan 15 23:10:34 2017	1484518234	1	2	3	2
Sun Jan 15 23:10:28 2017	1484518228	1	2	3	2
Sun Jan 15 23:10:30 2017	1484518230	1	2	3	2
Sun Jan 15 23:10:27 2017	1484518227	1	2	3	2
Sun Jan 15 23:10:33 2017	1484518233	1	2	3	1
Sun Jan 15 23:10:33 2017	1484518233	1	2	3	1
Sun Jan 15 23:10:31 2017	1484518231	1	2	3	1
Sun Jan 15 23:10:29 2017	1484518229	1	2	3	1
Sun Jan 15 23:10:33 2017	1484518233	1	1	3	1
Sun Jan 15 23:10:29 2017	1484518229	1	2	3	2
Sun Jan 15 23:10:33 2017	1484518233	1	2	3	2
Sun Jan 15 23:10:34 2017	1484518234	1	2	3	1
Sun Jan 15 23:10:28 2017	1484518228	1	2	3	2
Sun Jan 15 23:10:33 2017	1484518233	1	1	3	1
Sun Jan 15 23:10:34 2017	1484518234	1	1	3	1
Sun Jan 15 23:10:30 2017	1484518230	1	2	3	2
Sun Jan 15 23:10:28 2017	1484518228	1	2	3	2
Sun Jan 15 23:10:29 2017	1484518229	1	2	3	1
Sun Jan 15 23:10:31 2017	1484518231	1	2	3	2
Sun Jan 15 23:10:31 2017	1484518231	1	2	3	1
Sun Jan 15 23:10:33 2017	1484518233	1	2	3	2
Sun Jan 15 23:10:29 2017	1484518229	1	2	3	2
Sun Jan 15 23:10:28 2017	1484518228	1	2	3	1
Sun Jan 15 23:10:33 2017	1484518233	1	2	3	2
Sun Jan 15 23:10:28 2017	1484518228	0	2	3	2
Sun Jan 15 23:10:34 2017	1484518234	1	2	3	1
Sun Jan 15 23:10:34 2017	1484518234	1	2	3	1
Sun Jan 15 23:10:28 2017	1484518228	1	2	3	2
Sun Jan 15 23:10:35 2017	1484518235	1	2	3	1
Sun Jan 15 23:10:34 2017	1484518234	1	2	3	2
Sun Jan 15 23:10:33 2017	1484518233	1	2	3	2
Sun Jan 15 23:10:31 2017	1484518231	1	2	3	2
Sun Jan 15 23:10:28 2017	1484518228	1	2	3	1
Sun Jan 15 23:10:34 2017	1484518234	1	2	3	1
Sun Jan 15 23:10:28 2017	1484518228	1	2	3	2
Sun Jan 15 23:10:29 2017	1484518229	1	2	3	2
Sun Jan 15 23:10:29 2017	1484518229	1	2	3	1
Sun Jan 15 23:10:34 2017	1484518234	1	1	3	0
Sun Jan 15 23:10:30 2017	1484518230	1	2	3	1
Sun Jan 15 23:10:35 2017	1484518235	1	2	3	2
Sun Jan 15 23:10:28 2017	1484518228	1	1	3	1
Sun Jan 15 23:10:33 2017	1484518233	1	1	3	1
Sun Jan 15 23:10:33 2017	1484518233	1	2	3	1
Sun Jan 15 23:10:28 2017	1484518228	1	2	3	1
Sun Jan 15 23:10:28 2017	1484518228	1	2	3	1
Sun Jan 15 23:10:35 2017	1484518235	1	2	3	2
Sun Jan 15 23:10:29 2017	1484518229	1	2	3	2
Sun Jan 15 23:10:29 2017	1484518229	0	2	3	2
Sun Jan 15 23:10:33 2017	1484518233	1	2	3	1
Sun Jan 15 23:10:29 2017	1484518229	0	2	3	2
Sun Jan 15 23:10:30 2017	1484518230	1	2	3	1
Sun Jan 15 23:10:35 2017	1484518235	1	2	3	2
Sun Jan 15 23:10:27 2017	1484518227	1	2	3	2
Sun Jan 15 23:10:34 2017	1484518234	1	2	3	1
Sun Jan 15 23:10:29 2017	1484518229	1	1	3	1
Sun Jan 15 23:10:29 2017	1484518229	1	2	3	1
Sun Jan 15 23:10:33 2017	1484518233	1	2	3	2
Sun Jan 15 23:10:34 2017	1484518234	1	2	3	2
Sun Jan 15 23:10:32 2017	1484518232	2	1	3	1
Sun Jan 15 23:10:27 2017	1484518227	1	1	3	1
Sun Jan 15 23:10:35 2017	1484518235	1	1	3	1
Sun Jan 15 23:10:27 2017	1484518227	1	2	3	2
Sun Jan 15 23:10:29 2017	1484518229	1	2	3	2
Sun Jan 15 23:10:34 2017	1484518234	1	2	3	2
Sun Jan 15 23:10:34 2017	1484518234	1	2	3	1
Sun Jan 15 23:10:34 2017	1484518234	1	2	3	2
Sun Jan 15 23:10:27 2017	1484518227	1	1	3	1
Sun Jan 15 23:10:28 2017	1484518228	1	2	3	1
Sun Jan 15 23:10:28 2017	1484518228	1	2	3	1
Sun Jan 15 23:10:34 2017	1484518234	1	2	3	2
Sun Jan 15 23:10:34 2017	1484518234	1	2	3	2
Sun Jan 15 23:10:28 2017	1484518228	1	2	3	2
Sun Jan 15 23:10:28 2017	1484518228	1	2	3	1
Sun Jan 15 23:10:34 2017	1484518234	1	2	3	2
Sun Jan 15 23:10:33 2017	1484518233	1	2	3	2
Sun Jan 15 23:10:30 2017	1484518230	1	1	3	1
Sun Jan 15 23:10:35 2017	1484518235	1	2	3	1
Sun Jan 15 23:10:34 2017	1484518234	1	2	3	1
Sun Jan 15 23:10:29 2017	1484518229	1	1	3	1
Sun Jan 15 23:10:33 2017	1484518233	1	2	3	1
Sun Jan 15 23:10:27 2017	1484518227	1	2	3	1
Sun Jan 15 23:10:33 2017	1484518233	1	2	3	1
Sun Jan 15 23:10:33 2017	1484518233	1	2	3	1
Sun Jan 15 23:10:28 2017	1484518228	1	2	3	1
Sun Jan 15 23:10:30 2017	1484518230	1	2	3	2
Sun Jan 15 23:10:29 2017	1484518229	1	2	3	2
Sun Jan 15 23:10:30 2017	1484518230	1	2	3	2
Sun Jan 15 23:10:34 2017	1484518234	1	1	3	1
Sun Jan 15 23:10:34 2017	1484518234	1	2	3	2
Sun Jan 15 23:10:35 2017	1484518235	1	2	3	1
Sun Jan 15 23:10:27 2017	1484518227	1	2	3	2
Sun Jan 15 23:10:28 2017	1484518228	1	2	3	2
Sun Jan 15 23:10:30 2017	1484518230	1	2	3	1
Sun Jan 15 23:10:27 2017	1484518227	1	2	3	2
Sun Jan 15 23:10:30 2017	1484518230	1	2	3	2
Sun Jan 15 23:10:27 2017	1484518227	1	1	3	1
Sun Jan 15 23:10:34 2017	1484518234	1	2	3	1
Sun Jan 15 23:10:33 2017	1484518233	1	2	3	2
Sun Jan 15 23:10:28 2017	1484518228	1	2	3	2
Sun Jan 15 23:10:30 2017	1484518230	1	2	3	2
Sun Jan 15 23:10:34 2017	1484518234	1	2	3	0
Sun Jan 15 23:10:35 2017	1484518235	1	2	3	1
Sun Jan 15 23:10:34 2017	1484518234	1	2	3	2
Sun Jan 15 23:10:34 2017	1484518234	1	2	3	2
Sun Jan 15 23:10:28 2017	1484518228	1	2	3	0
Sun Jan 15 23:10:29 2017	1484518229	1	1	3	1
Sun Jan 15 23:10:29 2017	1484518229	0	2	3	2
Sun Jan 15 23:10:33 2017	1484518233	1	2	3	0
Sun Jan 15 23:10:30 2017	1484518230	1	2	3	1
Sun Jan 15 23:10:31 2017	1484518231	1	2	3	1
Sun Jan 15 23:10:31 2017	1484518231	1	2	3	1
Sun Jan 15 23:10:33 2017	1484518233	1	2	3	2
Sun Jan 15 23:10:27 2017	1484518227	1	2	3	2
Sun Jan 15 23:10:35 2017	1484518235	1	2	3	2
Sun Jan 15 23:10:28 2017	1484518228	1	1	3	1
Sun Jan 15 23:10:31 2017	1484518231	1	2	3	2
Sun Jan 15 23:10:29 2017	1484518229	1	2	3	2
Sun Jan 15 23:10:29 2017	1484518229	1	2	3	2
Sun Jan 15 23:10:34 2017	1484518234	2	1	3	1
Sun Jan 15 23:10:33 2017	1484518233	1	1	3	1
Sun Jan 15 23:10:35 2017	1484518235	1	2	3	2
Sun Jan 15 23:10:35 2017	1484518235	1	2	3	2
Sun Jan 15 23:10:32 2017	1484518232	1	2	3	2
Sun Jan 15 23:10:27 2017	1484518227	1	2	3	1
Sun Jan 15 23:10:28 2017	1484518228	1	2	3	2
Sun Jan 15 23:10:29 2017	1484518229	1	2	3	2
Sun Jan 15 23:10:31 2017	1484518231	1	2	3	1
Sun Jan 15 23:10:33 2017	1484518233	1	2	3	2
Sun Jan 15 23:10:31 2017	1484518231	1	2	3	2
Sun Jan 15 23:10:28 2017	1484518228	1	2	3	2
Sun Jan 15 23:10:33 2017	1484518233	1	2	3	2
Sun Jan 15 23:10:34 2017	1484518234	1	2	3	2
Sun Jan 15 23:10:33 2017	1484518233	1	2	3	2
Sun Jan 15 23:10:35 2017	1484518235	1	2	3	2
Sun Jan 15 23:10:29 2017	1484518229	1	2	3	1
Sun Jan 15 23:10:29 2017	1484518229	1	2	3	2
Sun Jan 15 23:10:30 2017	1484518230	1	2	3	2
Sun Jan 15 23:10:27 2017	1484518227	1	2	3	2
Sun Jan 15 23:10:29 2017	1484518229	1	2	3	2
Sun Jan 15 23:10:28 2017	1484518228	1	2	3	2
Sun Jan 15 23:10:34 2017	1484518234	1	1	3	1
Sun Jan 15 23:10:35 2017	1484518235	1	2	3	2
Sun Jan 15 23:10:35 2017	1484518235	1	1	3	1
Sun Jan 15 23:10:28 2017	1484518228	1	2	3	2
Sun Jan 15 23:10:27 2017	1484518227	1	2	3	1
Sun Jan 15 23:10:34 2017	1484518234	1	1	3	1
Sun Jan 15 23:10:33 2017	1484518233	1	2	3	1
Sun Jan 15 23:10:35 2017	1484518235	1	2	3	2
Sun Jan 15 23:10:28 2017	1484518228	1	1	3	1
Sun Jan 15 23:10:33 2017	1484518233	1	2	3	1
Sun Jan 15 23:10:28 2017	1484518228	1	2	3	2
Sun Jan 15 23:10:28 2017	1484518228	1	2	3	2
Sun Jan 15 23:10:30 2017	1484518230	1	2	3	2
Sun Jan 15 23:10:29 2017	1484518229	1	2	3	2
Sun Jan 15 23:10:29 2017	1484518229	1	2	3	2
Sun Jan 15 23:10:31 2017	1484518231	1	2	3	2
Sun Jan 15 23:10:27 2017	1484518227	1	2	3	2
Sun Jan 15 23:10:31 2017	1484518231	1	2	3	1
Sun Jan 15 23:10:27 2017	1484518227	1	2	3	1
Sun Jan 15 23:10:29 2017	1484518229	1	2	3	2
Sun Jan 15 23:10:27 2017	1484518227	1	1	3	1
Sun Jan 15 23:10:29 2017	1484518229	1	2	3	1
Sun Jan 15 23:10:31 2017	1484518231	1	2	3	2
Sun Jan 15 23:10:34 2017	1484518234	1	2	3	2
Sun Jan 15 23:10:28 2017	1484518228	1	2	3	2
Sun Jan 15 23:10:34 2017	1484518234	1	2	3	2
Sun Jan 15 23:10:33 2017	1484518233	1	2	3	2
Sun Jan 15 23:10:30 2017	1484518230	1	2	3	2
Sun Jan 15 23:10:30 2017	1484518230	0	2	3	2
Sun Jan 15 23:10:28 2017	1484518228	1	2	3	0
Sun Jan 15 23:10:34 2017	1484518234	1	1	3	1
Sun Jan 15 23:10:31 2017	1484518231	1	2	3	2
Sun Jan 15 23:10:34 2017	1484518234	1	2	3	2
Sun Jan 15 23:10:33 2017	1484518233	1	1	3	1
Sun Jan 15 23:10:30 2017	1484518230	1	2	3	1
Sun Jan 15 23:10:34 2017	1484518234	1	2	3	1
Sun Jan 15 23:10:34 2017	1484518234	1	2	3	2
Sun Jan 15 23:10:35 2017	1484518235	1	2	3	2
Sun Jan 15 23:10:29 2017	1484518229	1	2	3	2
Sun Jan 15 23:10:35 2017	1484518235	1	2	3	2
Sun Jan 15 23:10:35 2017	1484518235	1	1	3	1
Sun Jan 15 23:10:29 2017	1484518229	1	2	3	1
Sun Jan 15 23:10:30 2017	1484518230	1	2	3	1
Sun Jan 15 23:10:33 2017	1484518233	1	2	3	2
Sun Jan 15 23:10:30 2017	1484518230	1	2	3	2
Sun Jan 15 23:10:29 2017	1484518229	1	2	3	2
Sun Jan 15 23:10:34 2017	1484518234	1	2	3	2
Sun Jan 15 23:10:31 2017	1484518231	1	2	3	2
Sun Jan 15 23:10:28 2017	1484518228	1	2	3	1
Sun Jan 15 23:10:35 2017	1484518235	1	1	3	1
Sun Jan 15 23:10:33 2017	1484518233	1	2	3	1
Sun Jan 15 23:10:30 2017	1484518230	1	2	3	2
Sun Jan 15 23:10:29 2017	1484518229	1	2	3	1
Sun Jan 15 23:10:35 2017	1484518235	1	2	3	2
Sun Jan 15 23:10:27 2017	1484518227	1	2	3	2
Sun Jan 15 23:10:31 2017	1484518231	0	2	3	2
Sun Jan 15 23:10:28 2017	1484518228	2	1	3	1
Sun Jan 15 23:10:29 2017	1484518229	1	1	3	1
Sun Jan 15 23:10:34 2017	1484518234	1	2	3	1
Sun Jan 15 23:10:29 2017	1484518229	1	2	3	2
Sun Jan 15 23:10:31 2017	1484518231	1	2	3	2
Sun Jan 15 23:10:33 2017	1484518233	1	2	3	1
Sun Jan 15 23:10:29 2017	1484518229	1	2	3	1
Sun Jan 15 23:10:28 2017	1484518228	1	2	3	2
Sun Jan 15 23:10:33 2017	1484518233	1	2	3	2
Sun Jan 15 23:10:27 2017	1484518227	1	2	3	1
Sun Jan 15 23:10:28 2017	1484518228	1	1	3	1
Sun Jan 15 23:10:29 2017	1484518229	1	1	3	1
Sun Jan 15 23:10:29 2017	1484518229	1	2	3	1
Sun Jan 15 23:10:28 2017	1484518228	1	2	3	2
Sun Jan 15 23:10:30 2017	1484518230	1	2	3	1
Sun Jan 15 23:10:28 2017	1484518228	1	2	3	2
Sun Jan 15 23:10:28 2017	1484518228	1	1	3	1
Sun Jan 15 23:10:33 2017	1484518233	1	2	3	1
Sun Jan 15 23:10:27 2017	1484518227	1	2	3	2
Sun Jan 15 23:10:29 2017	1484518229	1	1	3	1
Sun Jan 15 23:10:33 2017	1484518233	1	1	3	1
Sun Jan 15 23:10:34 2017	1484518234	1	2	3	2
Sun Jan 15 23:10:28 2017	1484518228	1	2	3	2
Sun Jan 15 23:10:34 2017	1484518234	1	2	3	1
Sun Jan 15 23:10:29 2017	1484518229	1	2	3	2
Sun Jan 15 23:10:33 2017	1484518233	1	2	3	1
Sun Jan 15 23:10:34 2017	1484518234	1	2	3	2
Sun Jan 15 23:10:30 2017	1484518230	1	2	3	2
Sun Jan 15 23:10:35 2017	1484518235	1	2	3	2
Sun Jan 15 23:10:35 2017	1484518235	1	1	3	1
Sun Jan 15 23:10:29 2017	1484518229	1	2	3	1
Sun Jan 15 23:10:30 2017	1484518230	1	2	3	1
Sun Jan 15 23:10:34 2017	1484518234	1	2	3	1
Sun Jan 15 23:10:35 2017	1484518235	1	1	3	1
Sun Jan 15 23:10:29 2017	1484518229	1	2	3	2
Sun Jan 15 23:10:28 2017	1484518228	1	2	3	2
Sun Jan 15 23:10:33 2017	1484518233	1	2	3	2
Sun Jan 15 23:10:29 2017	1484518229	1	1	3	1
Sun Jan 15 23:10:31 2017	1484518231	1	2	3	1
Sun Jan 15 23:10:27 2017	1484518227	1	2	3	2
Sun Jan 15 23:10:33 2017	1484518233	1	2	3	2
Sun Jan 15 23:10:29 2017	1484518229	1	2	3	2
Sun Jan 15 23:10:27 2017	1484518227	1	2	3	2
Sun Jan 15 23:10:32 2017	1484518232	1	2	3	2
Sun Jan 15 23:10:27 2017	1484518227	1	2	3	2
Sun Jan 15 23:10:35 2017	1484518235	1	2	3	1
Sun Jan 15 23:10:34 2017	1484518234	2	1	3	1
Sun Jan 15 23:10:30 2017	1484518230	1	2	3	1
Sun Jan 15 23:10:29 2017	1484518229	1	2	3	1
Sun Jan 15 23:10:29 2017	1484518229	1	2	3	1
Sun Jan 15 23:10:35 2017	1484518235	1	2	3	2
Sun Jan 15 23:10:27 2017	1484518227	0	2	3	1
Sun Jan 15 23:10:34 2017	1484518234	1	2	3	2
Sun Jan 15 23:10:31 2017	1484518231	1	2	3	2
Sun Jan 15 23:10:27 2017	1484518227	1	2	3	2
Sun Jan 15 23:10:31 2017	1484518231	1	2	3	1
Sun Jan 15 23:10:33 2017	1484518233	0	2	3	2
Sun Jan 15 23:10:30 2017	1484518230	1	2	3	2
Sun Jan 15 23:10:35 2017	1484518235	1	2	3	2
Sun Jan 15 23:10:33 2017	1484518233	1	2	3	2
Sun Jan 15 23:10:35 2017	1484518235	1	2	3	2
Sun Jan 15 23:10:29 2017	1484518229	1	1	3	1
Sun Jan 15 23:10:33 2017	1484518233	1	2	3	1
Sun Jan 15 23:10:28 2017	1484518228	1	2	3	2
Sun Jan 15 23:10:27 2017	1484518227	1	2	3	2
Sun Jan 15 23:10:29 2017	1484518229	1	2	3	2
Sun Jan 15 23:10:27 2017	1484518227	1	1	3	1
Sun Jan 15 23:10:29 2017	1484518229	0	2	3	1
Sun Jan 15 23:10:33 2017	1484518233	0	2	3	1
Sun Jan 15 23:10:27 2017	1484518227	1	2	3	2
Sun Jan 15 23:10:30 2017	1484518230	1	1	3	1
Sun Jan 15 23:10:35 2017	1484518235	1	2	3	1
Sun Jan 15 23:10:29 2017	1484518229	1	2	3	2
Sun Jan 15 23:10:28 2017	1484518228	1	2	3	2
Sun Jan 15 23:10:34 2017	1484518234	1	2	3	1
Sun Jan 15 23:10:34 2017	1484518234	1	2	3	2
Sun Jan 15 23:10:32 2017	1484518232	1	2	3	2
Sun Jan 15 23:10:29 2017	1484518229	1	2	3	2
Sun Jan 15 23:10:34 2017	1484518234	1	1	3	1
Sun Jan 15 23:10:35 2017	1484518235	1	1	3	1
Sun Jan 15 23:10:31 2017	1484518231	1	2	3	1
Sun Jan 15 23:10:30 2017	1484518230	1	2	3	1
Sun Jan 15 23:10:30 2017	1484518230	1	2	3	1
Sun Jan 15 23:10:34 2017	1484518234	1	2	3	1
Sun Jan 15 23:10:34 2017	1484518234	1	2	3	1
Sun Jan 15 23:10:28 2017	1484518228	1	1	3	1
Sun Jan 15 23:10:27 2017	1484518227	1	2	3	1
Sun Jan 15 23:10:35 2017	1484518235	1	2	3	1
Sun Jan 15 23:10:34 2017	1484518234	1	2	3	2
Sun Jan 15 23:10:28 2017	1484518228	1	1	3	1
Sun Jan 15 23:10:31 2017	1484518231	1	2	3	1
Sun Jan 15 23:10:28 2017	1484518228	1	2	3	1
Sun Jan 15 23:10:28 2017	1484518228	1	2	3	1
Sun Jan 15 23:10:29 2017	1484518229	0	2	3	2
Sun Jan 15 23:10:28 2017	1484518228	1	1	3	1
Sun Jan 15 23:10:35 2017	1484518235	1	2	3	1
Sun Jan 15 23:10:35 2017	1484518235	1	2	3	2
Sun Jan 15 23:10:35 2017	1484518235	1	2	3	2
Sun Jan 15 23:10:35 2017	1484518235	1	2	3	2
Sun Jan 15 23:10:28 2017	1484518228	1	1	3	1
Sun Jan 15 23:10:30 2017	1484518230	1	2	3	1
Sun Jan 15 23:10:33 2017	1484518233	1	2	3	1
Sun Jan 15 23:10:31 2017	1484518231	1	2	3	2
Sun Jan 15 23:10:28 2017	1484518228	1	2	3	2
Sun Jan 15 23:10:35 2017	1484518235	1	2	3	1
Sun Jan 15 23:10:34 2017	1484518234	0	2	3	2
Sun Jan 15 23:10:29 2017	1484518229	1	2	3	2
Sun Jan 15 23:10:34 2017	1484518234	1	2	3	2
Sun Jan 15 23:10:28 2017	1484518228	1	2	3	2
Sun Jan 15 23:10:29 2017	1484518229	1	2	3	1
Sun Jan 15 23:10:29 2017	1484518229	1	2	3	1
Sun Jan 15 23:10:33 2017	1484518233	1	2	3	2
Sun Jan 15 23:10:29 2017	1484518229	1	2	3	2
Sun Jan 15 23:10:27 2017	1484518227	1	2	3	2
Sun Jan 15 23:10:30 2017	1484518230	1	2	3	1
Sun Jan 15 23:10:29 2017	1484518229	1	2	3	1
Sun Jan 15 23:10:28 2017	1484518228	1	2	3	2
Sun Jan 15 23:10:28 2017	1484518228	1	2	3	2
Sun Jan 15 23:10:33 2017	1484518233	1	2	3	1
Sun Jan 15 23:10:27 2017	1484518227	1	2	3	2
Sun Jan 15 23:10:27 2017	1484518227	1	2	3	2
Sun Jan 15 23:10:29 2017	1484518229	1	2	3	2
Sun Jan 15 23:10:34 2017	1484518234	1	2	3	1
Sun Jan 15 23:10:33 2017	1484518233	1	2	3	2
Sun Jan 15 23:10:29 2017	1484518229	1	2	3	2
Sun Jan 15 23:10:29 2017	1484518229	1	2	3	1
Sun Jan 15 23:10:35 2017	1484518235	1	2	3	2
Sun Jan 15 23:10:28 2017	1484518228	1	2	3	2
Sun Jan 15 23:10:31 2017	1484518231	0	2	3	2
Sun Jan 15 23:10:30 2017	1484518230	1	1	3	1
Sun Jan 15 23:10:35 2017	1484518235	1	2	3	2
Sun Jan 15 23:10:27 2017	1484518227	1	2	3	2
Sun Jan 15 23:10:33 2017	1484518233	1	2	3	2
Sun Jan 15 23:10:29 2017	1484518229	1	1	3	1
Sun Jan 15 23:10:33 2017	1484518233	1	2	3	1
Sun Jan 15 23:10:35 2017	1484518235	1	2	3	2
Sun Jan 15 23:10:28 2017	1484518228	1	2	3	2
Sun Jan 15 23:10:34 2017	1484518234	1	2	3	1
Sun Jan 15 23:10:28 2017	1484518228	1	2	3	1
Sun Jan 15 23:10:33 2017	1484518233	1	2	3	1
Sun Jan 15 23:10:29 2017	1484518229	0	2	3	1
Sun Jan 15 23:10:33 2017	1484518233	1	2	3	1
Sun Jan 15 23:10:30 2017	1484518230	0	2	3	2
Sun Jan 15 23:10:30 2017	1484518230	0	2	3	2
Sun Jan 15 23:10:29 2017	1484518229	1	2	3	1
Sun Jan 15 23:10:27 2017	1484518227	1	2	3	2
Sun Jan 15 23:10:29 2017	1484518229	1	1	3	1
Sun Jan 15 23:10:35 2017	1484518235	1	2	3	2
Sun Jan 15 23:10:33 2017	1484518233	1	2	3	2
Sun Jan 15 23:10:33 2017	1484518233	1	2	3	2
Sun Jan 15 23:10:30 2017	1484518230	1	2	3	2
Sun Jan 15 23:10:34 2017	1484518234	0	2	3	2
Sun Jan 15 23:10:30 2017	1484518230	1	1	3	1
Sun Jan 15 23:10:31 2017	1484518231	1	2	3	2
Sun Jan 15 23:10:33 2017	1484518233	1	2	3	2
Sun Jan 15 23:10:28 2017	1484518228	1	2	3	2
Sun Jan 15 23:10:27 2017	1484518227	1	2	3	1
Sun Jan 15 23:10:34 2017	1484518234	1	2	3	2
Sun Jan 15 23:10:29 2017	1484518229	1	2	3	2
Sun Jan 15 23:10:29 2017	1484518229	1	2	3	1
Sun Jan 15 23:10:33 2017	1484518233	0	2	3	1
Sun Jan 15 23:10:29 2017	1484518229	1	2	3	1
Sun Jan 15 23:10:34 2017	1484518234	1	2	3	2
Sun Jan 15 23:10:29 2017	1484518229	1	1	3	1
Sun Jan 15 23:10:35 2017	1484518235	1	2	3	2
Sun Jan 15 23:10:28 2017	1484518228	1	2	3	2
Sun Jan 15 23:10:28 2017	1484518228	1	1	3	1
Sun Jan 15 23:10:32 2017	1484518232	1	2	3	1
Sun Jan 15 23:10:28 2017	1484518228	1	2	3	2
Sun Jan 15 23:10:28 2017	1484518228	1	2	3	2
Sun Jan 15 23:10:30 2017	1484518230	1	2	3	2
Sun Jan 15 23:10:29 2017	1484518229	1	1	3	1
Sun Jan 15 23:10:29 2017	1484518229	1	2	3	1
Sun Jan 15 23:10:30 2017	1484518230	0	2	3	2
Sun Jan 15 23:10:30 2017	1484518230	1	2	3	1
Sun Jan 15 23:10:35 2017	1484518235	2	1	3	1
Sun Jan 15 23:10:30 2017	1484518230	1	2	3	1
Sun Jan 15 23:10:27 2017	1484518227	1	2	3	2
Sun Jan 15 23:10:29 2017	1484518229	1	2	3	2
Sun Jan 15 23:10:29 2017	1484518229	1	2	3	2
Sun Jan 15 23:10:34 2017	1484518234	1	2	3	2
Sun Jan 15 23:10:27 2017	1484518227	1	2	3	1
Sun Jan 15 23:10:29 2017	1484518229	1	2	3	2
Sun Jan 15 23:10:29 2017	1484518229	1	2	3	2
Sun Jan 15 23:10:28 2017	1484518228	1	2	3	1
Sun Jan 15 23:10:28 2017	1484518228	1	2	3	1
Sun Jan 15 23:10:35 2017	1484518235	1	2	3	2
Sun Jan 15 23:10:34 2017	1484518234	1	2	3	2
Sun Jan 15 23:10:30 2017	1484518230	1	2	3	1
Sun Jan 15 23:10:31 2017	1484518231	1	2	3	2
Sun Jan 15 23:10:31 2017	1484518231	1	2	3	2
Sun Jan 15 23:10:30 2017	1484518230	1	1	3	1
Sun Jan 15 23:10:29 2017	1484518229	1	1	3	1
Sun Jan 15 23:10:29 2017	1484518229	1	1	3	1
Sun Jan 15 23:10:29 2017	1484518229	1	2	3	2
Sun Jan 15 23:10:35 2017	1484518235	1	2	3	2
Sun Jan 15 23:10:29 2017	1484518229	1	2	3	2
Sun Jan 15 23:10:27 2017	1484518227	1	2	3	2
Sun Jan 15 23:10:33 2017	1484518233	1	2	3	2
Sun Jan 15 23:10:31 2017	1484518231	1	2	3	1
Sun Jan 15 23:10:28 2017	1484518228	1	1	3	1
Sun Jan 15 23:10:29 2017	1484518229	1	2	3	2
Sun Jan 15 23:10:28 2017	1484518228	1	2	3	2
Sun Jan 15 23:10:29 2017	1484518229	1	2	3	2
Sun Jan 15 23:10:31 2017	1484518231	0	2	3	2
Sun Jan 15 23:10:30 2017	1484518230	1	1	3	1
Sun Jan 15 23:10:29 2017	1484518229	1	2	3	1
Sun Jan 15 23:10:28 2017	1484518228	1	2	3	2
Sun Jan 15 23:10:31 2017	1484518231	1	2	3	2
Sun Jan 15 23:10:34 2017	1484518234	1	2	3	1
Sun Jan 15 23:10:28 2017	1484518228	1	2	3	1
Sun Jan 15 23:10:33 2017	1484518233	1	2	3	1
Sun Jan 15 23:10:35 2017	1484518235	1	2	3	1
Sun Jan 15 23:10:30 2017	1484518230	1	2	3	2
Sun Jan 15 23:10:34 2017	1484518234	1	1	3	1
Sun Jan 15 23:10:31 2017	1484518231	1	2	3	1
Sun Jan 15 23:10:29 2017	1484518229	1	2	3	1
Sun Jan 15 23:10:35 2017	1484518235	1	2	3	2
Sun Jan 15 23:10:32 2017	1484518232	1	2	3	2
Sun Jan 15 23:10:34 2017	1484518234	1	2	3	2
Sun Jan 15 23:10:28 2017	1484518228	1	2	3	2
Sun Jan 15 23:10:30 2017	1484518230	1	2	3	2
Sun Jan 15 23:10:34 2017	1484518234	1	2	3	1
Sun Jan 15 23:10:29 2017	1484518229	1	2	3	2
Sun Jan 15 23:10:31 2017	1484518231	1	2	3	2
Sun Jan 15 23:10:30 2017	1484518230	1	1	3	1
Sun Jan 15 23:10:33 2017	1484518233	1	2	3	1
Sun Jan 15 23:10:35 2017	1484518235	1	2	3	1
Sun Jan 15 23:10:27 2017	1484518227	1	2	3	2
Sun Jan 15 23:10:27 2017	1484518227	1	2	3	2
